homograph,homograph_type,n_eval,mle_acc,pos_baseline_acc,probe_acc,probe_minus_baseline
abstract,Morphosyntactic,10,1.0,1.0,1.0,0.0
abuse,Morphosyntactic,10,0.9,1.0,1.0,0.0
abuses,Morphosyntactic,10,0.9,1.0,1.0,0.0
addict,Morphosyntactic,10,1.0,1.0,1.0,0.0
advocate,Morphosyntactic,10,0.7,1.0,1.0,0.0
affect,Lexical,10,1.0,1.0,1.0,0.0
affiliate,Morphosyntactic,10,1.0,1.0,1.0,0.0
aged,Lexical,10,0.9,0.9,1.0,0.1
aggregate,Morphosyntactic,10,0.9,1.0,1.0,0.0
alternate,Morphosyntactic,10,1.0,1.0,1.0,0.0
analyses,Morphosyntactic,10,1.0,1.0,1.0,0.0
animate,Morphosyntactic,9,0.8889,1.0,1.0,0.0
appropriate,Lexical,10,1.0,1.0,1.0,0.0
approximate,Morphosyntactic,10,1.0,0.9,0.9,0.0
articulate,Morphosyntactic,10,0.6,1.0,1.0,0.0
associate,Lexical/Morphosyntactic,10,0.7,1.0,0.9,-0.1
attribute,Morphosyntactic,10,0.1,0.9,1.0,0.1
august,Lexical,10,1.0,1.0,1.0,0.0
axes,Lexical,10,0.4,0.4,1.0,0.6
bass,Lexical,10,1.0,1.0,1.0,0.0
blessed,Morphosyntactic,10,0.7,0.8,1.0,0.2
bologna,Lexical,10,1.0,1.0,1.0,0.0
bow,Lexical,10,0.6,0.5,0.9,0.4
buffet,Lexical,10,1.0,1.0,1.0,0.0
celtic,Lexical,10,0.8,0.8,1.0,0.2
close,Lexical,10,0.9,1.0,1.0,0.0
combine,Lexical,10,0.9,1.0,1.0,0.0
compact,Morphosyntactic,10,1.0,1.0,1.0,0.0
compound,Morphosyntactic,10,1.0,1.0,1.0,0.0
compress,Lexical,10,0.9,1.0,1.0,0.0
conduct,Morphosyntactic,10,0.3,1.0,1.0,0.0
confines,Morphosyntactic,10,0.4,0.6,1.0,0.4
conflict,Morphosyntactic,10,1.0,1.0,1.0,0.0
conglomerate,Morphosyntactic,10,0.9,0.9,0.9,0.0
conjugate,Morphosyntactic,10,0.9,1.0,1.0,0.0
conscript,Morphosyntactic,10,0.9,1.0,1.0,0.0
console,Lexical,10,1.0,1.0,1.0,0.0
consort,Lexical,10,1.0,1.0,1.0,0.0
construct,Lexical,10,0.9,1.0,1.0,0.0
consummate,Lexical/Morphosyntactic,10,0.2,1.0,1.0,0.0
content,Lexical,10,0.7,0.7,0.9,0.2
contest,Morphosyntactic,10,0.7,1.0,1.0,0.0
contract,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
contrast,Morphosyntactic,10,1.0,1.0,1.0,0.0
converse,Lexical,10,0.5,1.0,1.0,0.0
convert,Lexical,10,0.8,1.0,1.0,0.0
convict,Morphosyntactic,10,0.8,1.0,1.0,0.0
coordinate,Lexical,10,0.2,1.0,1.0,0.0
correlate,Morphosyntactic,10,0.7,0.8,1.0,0.2
decrease,Morphosyntactic,10,0.5,0.7,1.0,0.3
defect,Lexical,10,1.0,1.0,1.0,0.0
degenerate,Morphosyntactic,10,0.9,0.9,1.0,0.1
delegate,Morphosyntactic,10,1.0,1.0,1.0,0.0
deliberate,Morphosyntactic,10,0.9,0.9,1.0,0.1
desert,Lexical,10,1.0,1.0,1.0,0.0
deviate,Lexical,10,1.0,1.0,1.0,0.0
diagnoses,Morphosyntactic,10,0.8,1.0,1.0,0.0
diffuse,Morphosyntactic,10,0.7,0.9,1.0,0.1
discard,Morphosyntactic,10,0.7,1.0,1.0,0.0
discharge,Morphosyntactic,10,0.9,1.0,0.9,-0.1
discount,Morphosyntactic,10,1.0,1.0,1.0,0.0
document,Morphosyntactic,10,0.9,1.0,1.0,0.0
dove,Lexical,6,0.8333,1.0,1.0,0.0
duplicate,Morphosyntactic,10,0.6,1.0,1.0,0.0
elaborate,Morphosyntactic,10,1.0,1.0,1.0,0.0
entrance,Lexical,10,1.0,1.0,1.0,0.0
escort,Morphosyntactic,10,0.7,1.0,1.0,0.0
estimate,Morphosyntactic,10,1.0,1.0,1.0,0.0
excuse,Lexical/Morphosyntactic,10,0.7,1.0,1.0,0.0
expatriate,Morphosyntactic,10,1.0,1.0,1.0,0.0
exploit,Lexical,10,0.9,1.0,1.0,0.0
export,Morphosyntactic,10,0.9,1.0,1.0,0.0
expose,Lexical,10,0.8,1.0,1.0,0.0
extract,Morphosyntactic,10,0.5,0.9,1.0,0.1
fragment,Morphosyntactic,10,1.0,1.0,1.0,0.0
frequent,Lexical,10,0.9,0.9,1.0,0.1
graduate,Lexical/Morphosyntactic,10,0.8,1.0,1.0,0.0
house,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
impact,Morphosyntactic,10,0.9,1.0,1.0,0.0
implant,Lexical/Morphosyntactic,10,0.9,0.9,1.0,0.1
implement,Lexical,10,0.9,1.0,1.0,0.0
